Rank,Player,Position,2014 Team,2015 Team,Rank Change,Reference
1,J.J. Watt,Defensive end,Houston Texans,,11,1
2,Aaron Rodgers,Quarterback,Green Bay Packers,,9,2
3,Tom Brady,Quarterback,New England Patriots,,0,3
4,DeMarco Murray,Running back,Dallas Cowboys,Philadelphia Eagles,83,4
5,Peyton Manning,Quarterback,Denver Broncos,,4,5
6,Calvin Johnson,Wide receiver,Detroit Lions,,4,6
7,Andrew Luck,Quarterback,Indianapolis Colts,,23,7
8,Antonio Brown,Wide receiver,Pittsburgh Steelers,,15,8
9,Marshawn Lynch,Running back,Seattle Seahawks,,5,9
10,Rob Gronkowski,Tight end,New England Patriots,,31,10
11,Richard Sherman,Cornerback,Seattle Seahawks,,4,11
12,Jamaal Charles,Running back,Kansas City Chiefs,,4,12
13,Julio Jones,Wide receiver,Atlanta Falcons,,NR,13
14,Luke Kuechly,Linebacker,Carolina Panthers,,1,14
15,Dez Bryant,Wide receiver,Dallas Cowboys,,10,15
16,Le'Veon Bell,Running back,Pittsburgh Steelers,,NR,16
17,Darrelle Revis,Cornerback,New England Patriots,New York Jets,20,17
18,Jordy Nelson,Wide receiver,Green Bay Packers,,65,18
19,Patrick Peterson,Cornerback,Arizona Cardinals,,3,19
20,Demaryius Thomas,Wide receiver,Denver Broncos,,29,20
21,Earl Thomas,Safety,Seattle Seahawks,,4,21
22,Russell Wilson,Quarterback,Seattle Seahawks,,2,22
23,Joe Haden,Cornerback,Cleveland Browns,,16,23
24,Ndamukong Suh,Defensive tackle,Detroit Lions,Miami Dolphins,16,24
25,Joe Thomas,Offensive tackle,Cleveland Browns,,7,25
26,Ben Roethlisberger,Quarterback,Pittsburgh Steelers,,5,26
27,Justin Houston,Linebacker,Kansas City Chiefs,,30,27
28,Gerald McCoy,Defensive tackle,Tampa Bay Buccaneers,,0,28
29,LeSean McCoy,Running back,Philadelphia Eagles,Buffalo Bills,24,29
30,Drew Brees,Quarterback,New Orleans Saints,,24,30
31,Jimmy Graham,Tight end,New Orleans Saints,Seattle Seahawks,21,31
32,Odell Beckham Jr.,Wide receiver,New York Giants,,NR,32
33,Von Miller,Linebacker,Denver Broncos,,43,33
34,Tony Romo,Quarterback,Dallas Cowboys,,37,34
35,T.Y. Hilton,Wide receiver,Indianapolis Colts,,NR,35
